X_IMAGE,Y_IMAGE,Label
8263.4521,38.2223,1
3413.3806,25.565,1
1278.3665,45.6639,1
3697.7539,19.5553,0
7949.3291,16.3195,1
8989.1475,11.2266,1
8819.4258,28.063,1
6501.3228,33.7359,1
4019.3826,28.5254,1
4753.6455,38.9768,1
540.8629,17.8731,1
3652.0015,26.5568,1
8801.2725,21.9707,1
9063.25,28.8372,1
7226.71,34.2824,1
3524.2881,7.1408,1
1068.0099,30.6145,1
5054.7661,33.2687,1
6507.1006,31.3487,1
5881.2852,34.5952,1
4608.6406,37.3595,1
3405.7961,12.3935,1
7665.7842,40.3885,1
2636.1882,47.1694,1
8256.0967,47.3095,1
3614.8218,39.7847,1
7568.0181,26.6436,1
7933.3359,26.7984,1
8607.5977,12.3345,1
8591.1953,25.4391,1
7114.9365,13.8782,1
4717.3491,41.2475,1
5053.1489,22.9551,1
7661.6064,33.9409,1
2607.1741,41.112,1
7553.5508,48.2682,0
9086.5889,28.3636,1
3577.5518,17.8573,1
3919.259,20.5083,1
4396.7651,29.9747,1
1588.9741,30.0221,1
3633.3176,34.2058,1
5416.3608,23.743,1
5375.5098,46.9665,1
1877.6029,19.6056,1
7198.6294,32.0245,1
7191.7505,39.1966,1
5417.1626,42.7088,1
7527.8999,19.3801,0
8950.0264,10.5798,1
8443.9521,16.1972,0
5882.8184,17.0082,1
216.0701,30.8181,1
4006.281,21.6103,1
5372.9907,25.2125,1
6208.1284,37.8818,1
235.7074,22.9147,1
3552.2971,40.2782,1
5091.8647,47.7469,1
1270.8403,52.8275,1
7522.6948,37.9019,0
8770.916,12.5428,1
9152.3838,25.7355,1
5345.5933,25.4152,1
3984.4299,27.2375,1
5891.5166,39.2823,1
6185.522,43.6813,1
269.8616,51.3196,1
6002.4521,46.2627,1
6237.5005,54.0246,1
549.7213,29.8547,1
7503.1016,25.4882,0
7606.647,17.9576,1
3738.4507,12.8462,0
2629.5925,50.1599,1
171.6621,16.6933,1
5064.4082,33.7274,1
5041.4878,19.1123,1
5302.4595,33.8569,1
4753.1357,49.9478,1
8836.4834,44.8135,1
7516.5688,19.1533,0
8797.4971,32.1285,1
7914.5747,16.6377,1
3588.3335,29.6924,1
1741.8414,35.8992,0
6138.0347,36.3076,1
1897.5488,23.0323,1
7178.8394,40.0726,0
7198.0737,43.8101,1
520.2045,23.3374,1
8786.1826,28.1918,1
3546.5337,28.1444,1
7591.8086,28.4664,1
8654.2002,9.3924,1
6469.8022,8.657,1
6458.9272,11.1412,1
9171.9355,19.1537,1
1724.597,21.7036,0
1094.7139,38.4222,1
1581.4355,44.3984,1
4148.0156,56.9779,1
8739.665,23.8075,1
6472.251,26.5119,1
9130.2168,15.8679,1
2638.925,14.0802,1
5866.8457,23.6419,1
230.1104,38.1285,1
7975.2319,40.4981,1
9129.0771,41.3561,1
3391.0999,42.8465,1
6305.9692,45.5644,1
4226.4116,50.9329,1
5457.9624,39.7991,1
9213.9395,52.9622,1
1208.8751,46.1211,0
2655.1848,45.0456,1
8766.1729,30.4613,1
3541.4868,37.7432,1
3571.0383,36.5487,1
9075.6318,22.7123,1
179.2585,6.8485,1
1078.5693,26.3426,1
7972.022,51.5058,1
839.2893,46.7449,1
23.8044,56.6764,1
7826.105,56.3644,1
9207.8809,38.6534,1
8731.5166,28.3896,1
8789.0928,14.091,1
7266.1797,18.6703,1
7331.6445,33.5662,1
8399.2363,6.5354,0
4384.8843,26.7274,1
3152.2764,33.7102,1
7673.6006,42.7352,1
3270.0637,44.5693,1
755.9081,50.1851,1
572.3578,21.7861,1
533.1761,17.3115,1
1946.0789,55.0224,1
8200.9863,55.2778,1
3211.1882,57.4896,1
3955.5134,42.3951,1
8954.2891,25.3126,1
8843.0869,41.5732,1
3149.3499,53.5203,0
7511.9209,46.0042,0
714.7119,54.6498,1
3272.7744,59.4724,1
7625.502,28.5757,1
3640.3208,51.8649,1
9018.3555,38.965,1
7015.8164,37.8671,0
4609.478,47.8437,1
3692.5422,30.8089,0
6000.6826,55.7148,1
3738.4795,58.1329,1
7629.9189,41.1807,1
3785.4016,36.9343,0
9036.5303,31.4996,1
6823.6309,24.8122,1
1579.5123,29.8495,1
5082.6494,21.6441,1
4001.1675,34.9611,1
655.6592,61.6319,1
6707.0557,39.2067,1
5337.6587,44.2053,1
7177.7153,48.9391,1
5462.3481,22.9852,1
5408.9858,41.4081,1
518.3804,35.2559,1
541.3763,37.8314,1
272.1099,59.0139,1
1349.8711,59.0725,1
4890.0112,58.8789,1
7500.8701,35.212,0
7648.6938,35.9456,1
7379.7539,41.4318,1
8916.8311,22.6084,1
1066.7502,8.9087,1
3665.7839,17.3123,0
3608.9526,7.136,1
6310.4341,54.7823,1
5739.8296,57.7704,0
1523.2378,60.0016,1
8748.7119,37.4773,1
4198.2246,52.6105,1
6457.1611,27.0059,1
7398.8242,31.4979,1
9049.4268,9.3093,1
6704.5674,33.2126,1
4165.1196,48.58,1
613.9493,53.1546,1
553.7267,50.8924,1
3678.1458,17.8844,0
6538.8604,48.8546,1
5923.0044,63.787,1
7182.4639,63.7693,1
7557.8359,21.9216,0
3743.8657,42.4853,1
7382.7979,27.5262,1
4452.0874,39.2369,1
9123.1182,35.5924,1
6008.5137,49.746,1
1003.9916,64.7575,1
8774.4541,39.0694,1
603.9955,41.4132,1
8829.8916,20.4903,1
5296.6396,16.9034,1
547.0664,43.9457,1
1360.2815,58.093,1
7538.4292,38.7839,0
8783.8311,39.4774,1
7920.356,40.5016,1
7232.936,43.528,1
499.3441,26.5348,1
3720.1101,44.3611,1
5482.6797,37.3568,1
5486.3848,49.4738,1
2526.9465,56.692,1
8598.3857,61.2962,1
666.8828,63.986,1
9070.6973,48.7341,1
5376.7832,31.0502,1
1682.5674,60.149,1
7083.5918,39.7959,1
541.403,52.7159,1
9193.9688,54.5865,1
4221.6631,62.5237,1
5489.4946,65.1455,1
5887.6206,67.3641,1
8760.9707,43.7739,1
8641.6318,27.7207,1
8458.6055,25.894,0
7340.8345,17.4266,1
5418.3838,50.8915,1
3397.2588,68.4912,1
5621.6113,61.3376,1
1390.3466,63.5559,0
5682.9155,60.3621,1
4055.4844,70.9655,1
5037.1191,70.8667,1
3581.1853,48.5702,1
9096.6562,35.1631,1
7319.2036,15.5452,1
3257.0444,31.8589,1
3400.9797,31.8147,1
3644.405,16.9063,1
7665.8682,51.3523,1
8887.6299,51.8964,1
6534.5527,57.4775,1
3150.252,64.6248,0
4070.4797,66.9842,1
1714.6577,69.6761,1
7942.2222,50.0529,1
7585.499,13.855,1
3758.2759,18.1047,0
8419.125,31.2648,0
5313.0347,30.7914,1
4448.7979,12.48,1
3602.2649,28.0081,1
6520.1724,47.0255,1
4970.3296,60.8672,1
7399.5127,62.5191,1
4039.8923,70.4599,1
8153.7012,72.9826,1
7579.7954,56.0236,1
8668.7666,33.2944,1
8690.5586,44.9732,1
6476.4482,47.5068,1
601.1194,50.1039,1
9086.2676,44.2066,1
8935.5762,28.9192,1
7402.7432,52.619,1
8587.7129,51.9985,1
7519.6685,46.0445,0
5741.7339,66.5905,0
1504.8663,61.5721,1
8426.8066,15.0344,0
3596.4548,42.8838,1
1206.5942,54.6651,0
3147.0415,75.3205,0
493.9539,62.3571,1
5678.8091,65.1596,1
20.9303,67.4911,1
8674.3926,48.7428,1
8632.1152,56.8501,1
3701.4639,43.7443,1
1973.6443,63.5429,1
7767.1318,58.3261,1
8466.2061,66.1479,1
7523.5947,68.8374,0
7955.5337,71.0122,1
7925.561,54.924,1
7618.7983,20.2976,1
4198.4214,61.8763,1
4205.4985,63.745,1
6494.9473,53.1873,1
7234.6396,29.2334,1
9200.6426,48.3936,1
1215.197,49.0383,1
1664.1097,59.0205,1
7159.6924,59.2444,1
2011.1121,64.8125,1
2462.0146,67.5169,1
2616.9368,71.848,1
5735.3364,72.1025,1
8616.6406,46.6013,1
7763.3389,63.4125,1
8605.5996,65.2311,1
8625.3057,72.8195,1
9029.9238,49.2723,1
7614.2085,67.3896,1
5431.5674,35.7804,1
3610.7517,49.28,1
7089.4263,64.5987,1
1501.468,67.2847,1
8448.6367,66.2959,1
5640.3232,69.0281,1
8569.5244,40.3628,1
9075.085,74.0209,1
3973.1714,66.4342,1
7656.1201,14.7683,1
7616.252,59.7821,1
8684.1699,56.8212,1
8850.5293,21.6145,1
3953.5422,52.657,1
2633.3357,67.0743,1
8975.4316,69.7083,1
8684.3291,8.2172,1
3791.6096,46.6096,0
526.4682,43.9289,1
2456.5439,63.3157,1
1650.0077,68.4891,1
1985.2736,68.7656,1
7181.3164,71.1244,1
3012.844,73.6719,1
185.4713,76.082,1
2763.5955,78.3979,1
3681.7783,66.6726,1
5646.6548,79.8678,1
5208.8921,69.0865,1
5979.4316,66.8152,1
7929.4741,60.3896,1
7956.9033,38.5553,1
4080.2024,69.0101,1
7615.8677,76.5784,1
3763.6013,61.4388,1
8637.6045,62.7081,1
6467.9346,50.6993,1
7213.9756,57.498,1
7182.6323,30.9778,0
7543.8545,24.3844,0
1657.123,67.6128,1
157.7381,75.2041,1
7934.8115,70.2125,1
5908.8838,44.1012,1
8460.4336,61.7593,1
5969.627,69.2533,1
1531.8643,72.0173,1
3747.0906,32.8025,1
8658.7402,71.7199,1
7286.4551,51.2297,1
8914.6885,54.8669,1
8564.9404,23.1721,1
3647.7996,66.511,1
2630.5295,60.3864,1
3511.5879,49.5022,1
4086.5483,68.9664,1
7609.1602,67.8409,1
4227.5195,72.7867,1
2147.4724,70.0521,1
4218.7344,79.797,1
4505.0591,80.2917,1
3799.125,82.7649,1
4193.2578,82.5058,1
5913.999,82.4141,1
3776.3398,36.6059,0
7267.958,35.1588,1
8850.3652,47.5819,1
3508.8796,65.4571,1
8754.2646,53.7208,1
3957.2444,71.3671,1
4226.4761,78.9583,1
2562.8679,81.1011,1
